"time period","train operating company name","NR on TOC External","NR on TOC Network Management Other","NR on TOC Non Track Assets","NR on TOC Severe Weather","NR on TOC Track","TOC on Self Fleet","TOC on Self Operations","TOC on Self Stations","TOC on Self TOC Other","TOC on Self Traincrew","TOC on TOC Fleet","TOC on TOC Operations","TOC on TOC Stations","TOC on TOC TOC Other","TOC on TOC Traincrew"
"Apr 2021 to Mar 2022 (Period 06)","CrossCountry","5198.0","5148.5","4882.0","789.0","2743.0","1700.0","539.0","656.0","1439.0","413.0","3879.0","527.0","499.0","1322.0","1665.0"
"Apr 2021 to Mar 2022 (Period 07)","CrossCountry","4390.5","4814.5","5405.7","1378.5","4586.0","1798.0","364.0","756.0","1061.0","645.0","2887.0","734.3","528.0","1620.5","1448.0"
"Apr 2021 to Mar 2022 (Period 08)","CrossCountry","4544.0","6351.7","6436.7","4539.5","5015.0","1818.0","412.5","691.0","1373.0","511.0","3487.2","784.9","673.5","2289.5","1550.5"
"Apr 2021 to Mar 2022 (Period 09)","CrossCountry","6924.5","6544.2","6025.9","7097.5","4370.0","1767.0","696.5","901.0","2043.5","1250.0","3842.4","693.9","697.0","2932.6","1812.0"
"Apr 2021 to Mar 2022 (Period 10)","CrossCountry","3739.0","3496.7","4804.8","858.6","2660.0","1183.0","1233.0","869.0","807.0","992.5","2693.7","503.1","398.8","1028.5","1494.2"
"Apr 2021 to Mar 2022 (Period 11)","CrossCountry","2987.8","4049.0","4485.2","1565.2","4894.0","1183.0","811.5","232.0","718.5","210.0","2199.0","443.3","270.5","1379.5","863.5"
"Apr 2021 to Mar 2022 (Period 12)","CrossCountry","3855.6","5112.4","3037.6","14406.3","3779.0","1812.0","1319.0","547.0","734.0","431.0","2797.6","453.0","354.2","1247.7","976.5"
"Apr 2021 to Mar 2022 (Period 13)","CrossCountry","5826.2","3444.1","4677.1","555.7","2860.1","1368.0","756.9","682.6","914.9","449.7","1837.6","438.5","454.8","1157.8","1651.1"
"Apr 2022 to Mar 2023 (Period 01)","CrossCountry","7249.5","4764.1","4612.3","557.2","3550.0","1703.5","795.0","757.0","1151.0","1098.5","3003.5","456.8","696.2","1217.5","1264.9"
"Apr 2022 to Mar 2023 (Period 02)","CrossCountry","5718.0","4271.7","6849.2","513.1","2828.0","982.0","572.0","691.0","1294.5","677.0","3058.4","639.0","701.6","1543.0","1562.5"
"Apr 2022 to Mar 2023 (Period 03)","CrossCountry","5278.5","5185.0","11784.2","3359.0","2880.0","1377.0","556.5","714.0","913.0","1386.0","3728.9","630.7","443.0","1462.0","1474.2"
"Apr 2022 to Mar 2023 (Period 04)","CrossCountry","6089.0","7765.6","8543.8","8235.0","7096.0","1769.0","653.0","1051.0","1620.0","1584.5","5596.0","823.8","530.5","1656.0","1889.8"
"Apr 2022 to Mar 2023 (Period 05)","CrossCountry","6887.0","5515.5","7693.1","6647.1","7472.0","2186.0","686.5","1770.0","1554.0","1028.0","4386.0","664.3","833.0","1574.5","1576.0"
"Apr 2022 to Mar 2023 (Period 06)","CrossCountry","6060.0","6285.8","7594.7","2583.2","6583.0","1583.0","411.0","942.5","938.0","1338.0","2664.0","706.0","726.5","1243.0","2054.3"
"Apr 2022 to Mar 2023 (Period 07)","CrossCountry","6087.5","4836.5","5886.9","2570.2","6776.0","1387.5","453.0","825.0","894.0","935.0","2814.5","634.7","560.0","1655.0","1470.2"
"Apr 2022 to Mar 2023 (Period 08)","CrossCountry","8720.0","8075.0","6610.1","3825.3","5444.0","1794.5","917.5","1341.0","2984.5","2905.5","4618.4","907.9","767.3","2990.3","2764.7"
"Apr 2022 to Mar 2023 (Period 09)","CrossCountry","5126.5","10301.1","6483.5","3637.6","4755.0","2193.0","693.0","1072.5","930.0","3016.0","5465.7","1024.4","719.5","2593.8","2337.4"
"Apr 2022 to Mar 2023 (Period 10)","CrossCountry","1833.0","4881.4","4587.9","2146.1","2055.3","1632.0","1197.0","1316.0","699.5","1523.0","2204.1","772.4","303.0","641.0","1637.3"
"Apr 2022 to Mar 2023 (Period 11)","CrossCountry","4465.0","5291.0","7516.0","4061.8","6524.0","2507.0","441.0","360.0","622.0","1375.0","4774.4","777.4","525.6","1575.0","1947.9"
"Apr 2022 to Mar 2023 (Period 12)","CrossCountry","4923.9","4713.0","4541.8","3488.6","6728.0","2137.0","378.5","567.0","1462.0","1202.0","3988.6","832.2","651.1","1719.7","1934.4"
"Apr 2022 to Mar 2023 (Period 13)","CrossCountry","5230.5","5086.9","4507.8","3856.2","3489.1","2102.0","531.0","908.0","991.0","784.1","4266.5","622.1","530.2","2173.3","1585.3"
"Apr 2023 to Mar 2024 (Period 01)","CrossCountry","8058.1","6877.9","7485.8","3304.0","4423.0","1423.0","410.0","880.0","958.0","1390.0","3282.6","572.0","775.1","1578.5","1831.0"
"Apr 2023 to Mar 2024 (Period 02)","CrossCountry","7183.7","5625.5","9564.5","4173.5","3047.0","1780.0","524.0","744.0","835.0","1364.0","3756.1","563.2","867.5","1324.5","1549.5"
"Apr 2023 to Mar 2024 (Period 03)","CrossCountry","7215.5","7795.3","13321.4","9853.1","5354.0","3017.0","855.0","1553.0","884.0","2835.5","5552.2","928.6","768.0","1733.4","2253.0"
"Apr 2023 to Mar 2024 (Period 04)","CrossCountry","9102.1","9023.8","10500.2","2103.1","5484.0","1626.0","509.5","1464.5","1209.0","2196.0","4662.1","1264.5","677.5","1971.9","2864.8"
"Apr 2023 to Mar 2024 (Period 05)","CrossCountry","6773.6","5677.8","7590.5","2403.1","3347.3","1604.0","341.0","1198.0","904.0","2210.0","6188.4","973.6","936.5","2100.5","3117.6"
"Apr 2023 to Mar 2024 (Period 06)","CrossCountry","5897.1","6945.4","9358.3","1916.1","5066.1","2045.0","655.5","1296.5","972.5","1319.0","5459.6","942.5","1072.7","2288.5","3016.3"
"Apr 2023 to Mar 2024 (Period 07)","CrossCountry","8559.2","10426.4","9906.0","1576.5","4124.0","2164.0","689.0","1175.0","1218.0","1500.5","5732.5","1070.0","1122.2","2879.7","3143.9"
"Apr 2023 to Mar 2024 (Period 08)","CrossCountry","7353.3","13864.3","13744.1","14471.9","4199.2","2037.5","889.5","1119.0","2231.0","1309.5","6828.8","1035.9","840.5","3607.5","3336.9"
"Apr 2023 to Mar 2024 (Period 09)","CrossCountry","6416.6","9860.2","9165.1","8844.7","7221.5","3076.0","962.5","1589.0","1269.0","2879.0","6879.7","1272.4","935.5","3325.8","3002.9"
"Apr 2023 to Mar 2024 (Period 10)","CrossCountry","8159.5","7924.0","8298.8","14658.3","2576.0","1812.0","1217.8","1335.0","1259.5","3491.0","4738.2","894.1","728.5","2157.0","2718.3"
"Apr 2023 to Mar 2024 (Period 11)","CrossCountry","5671.7","8245.7","13769.2","4519.5","4882.4","1734.0","925.7","774.0","1017.0","1299.0","5533.5","1146.1","910.3","1863.4","2340.6"
"Apr 2023 to Mar 2024 (Period 12)","CrossCountry","6075.3","5688.9","8414.1","6026.8","9167.3","1867.0","977.0","947.0","1550.0","1443.0","4577.4","693.6","781.7","2219.0","1846.8"
"Apr 2023 to Mar 2024 (Period 13)","CrossCountry","8353.5","9247.5","8024.1","2602.1","5544.9","2200.9","693.9","1359.0","1249.0","1250.0","5134.3","1194.7","802.8","1862.9","2304.5"
"Apr 2024 to Mar 2025 (Period 01)","CrossCountry","7276.0","5907.9","8767.1","6053.0","7587.0","2080.0","380.0","837.0","846.0","1184.0","4472.0","791.9","616.0","1625.0","1739.0"
"Apr 2024 to Mar 2025 (Period 02)","CrossCountry","8775.0","5410.5","10922.4","1713.3","4033.2","2535.0","612.0","976.0","1356.0","1317.5","4280.0","633.5","1007.0","1460.0","1977.5"
"Apr 2024 to Mar 2025 (Period 03)","CrossCountry","10443.2","7375.7","8601.1","1001.2","3735.7","1760.0","496.5","1248.0","1142.0","2116.5","4983.0","990.8","1239.0","1713.4","2287.5"
"Apr 2024 to Mar 2025 (Period 04)","CrossCountry","12247.0","8056.6","12445.3","1008.5","5854.1","1904.0","579.5","1309.0","1271.0","1757.5","6105.2","837.8","996.0","2512.5","2345.9"
"Apr 2024 to Mar 2025 (Period 05)","CrossCountry","9622.0","5631.3","12202.0","860.1","3861.0","2806.0","678.5","1952.0","1316.0","1923.5","5341.0","749.6","1228.5","2612.5","2526.0"
"Apr 2024 to Mar 2025 (Period 06)","CrossCountry","10456.5","9205.4","6330.9","1554.7","4953.0","1902.0","726.0","1749.0","2088.0","1219.0","4422.5","1297.2","963.7","2540.5","2583.5"
"Apr 2024 to Mar 2025 (Period 07)","CrossCountry","9115.1","7288.7","11006.9","5667.4","2455.0","2330.0","896.5","1661.0","1908.5","891.5","5884.1","922.8","966.5","3004.9","2697.0"
"Apr 2024 to Mar 2025 (Period 08)","CrossCountry","9403.5","7906.9","10513.3","3045.1","3352.1","1880.0","1044.0","2003.5","1561.5","1195.5","5242.5","889.6","1142.0","2859.7","2734.8"
"Apr 2024 to Mar 2025 (Period 09)","CrossCountry","9898.7","10886.8","16395.4","14559.2","3714.0","3470.0","1294.0","2065.0","2673.0","4218.5","7308.3","1089.3","1096.8","4792.7","3513.4"
"Apr 2024 to Mar 2025 (Period 10)","CrossCountry","5196.2","7381.0","9268.2","6376.2","4358.1","3721.0","626.5","2744.0","1828.0","2426.0","4429.4","736.7","1319.5","2013.5","2484.7"
"Apr 2024 to Mar 2025 (Period 11)","CrossCountry","7681.2","6093.1","12824.5","10185.1","3743.0","2904.0","695.5","832.0","1731.0","1122.0","7038.3","788.7","807.5","2290.7","1953.5"
"Apr 2024 to Mar 2025 (Period 12)","CrossCountry","6929.2","6438.3","6987.3","766.1","3429.3","1873.0","288.5","835.0","2083.5","1562.0","5036.8","685.0","842.0","2784.3","2761.8"
"Apr 2024 to Mar 2025 (Period 13)","CrossCountry","8307.0","6795.2","7877.7","391.6","3253.7","2360.6","510.5","1191.7","1508.5","1548.4","4837.2","741.4","1009.0","2414.2","2333.3"
"Apr 2025 to Mar 2026 (Period 01)","CrossCountry","9179.3","5320.9","9187.1","485.5","3152.0","2836.6","516.0","1116.0","1199.0","1498.5","4614.0","734.6","711.0","1570.0","1745.4"
"Apr 2025 to Mar 2026 (Period 02)","CrossCountry","9773.6","7026.2","11977.4","1080.0","3712.0","2590.0","609.5","1505.0","1366.0","1666.0","5556.6","632.5","1018.3","2895.0","1771.0"
"Apr 2025 to Mar 2026 (Period 03)","CrossCountry","10034.7","8363.5","13890.5","1275.3","3882.1","2916.0","530.0","1517.0","2091.5","2907.5","7364.7","1192.3","901.5","2456.0","2110.0"
"Apr 2025 to Mar 2026 (Period 04)","CrossCountry","12926.6","10178.3","21014.2","2380.0","6645.0","3683.0","918.5","1942.0","2010.0","2579.5","6259.9","1051.5","1038.0","1971.0","2412.5"
"Apr 2025 to Mar 2026 (Period 05)","CrossCountry","12792.6","10411.4","10952.4","4671.2","4380.0","3638.0","524.0","2398.0","2055.0","1394.5","5860.5","812.6","1286.6","2461.2","2459.1"
"Apr 2025 to Mar 2026 (Period 06)","CrossCountry","9565.9","7660.1","9450.8","2367.5","6688.0","2363.0","348.5","1786.0","1385.5","1518.5","5391.4","785.9","1236.0","2303.0","2070.9"
"Apr 2025 to Mar 2026 (Period 07)","CrossCountry","8919.1","8901.6","7584.7","2431.6","3802.2","3033.0","734.5","1395.0","1358.0","1923.5","5713.6","1026.5","850.5","2777.5","2013.7"
"Apr 2025 to Mar 2026 (Period 08)","CrossCountry","11824.5","11072.9","10485.5","3122.5","5926.1","3887.0","1294.0","1566.0","1805.0","2077.0","7072.3","863.9","1338.0","3818.6","2506.8"
"Apr 2025 to Mar 2026 (Period 09)","CrossCountry","9639.3","11411.3","19997.7","8964.7","7377.1","3346.0","744.5","1370.5","2507.5","2479.2","9439.9","1157.6","1321.0","3980.3","2757.4"
"Apr 2025 to Mar 2026 (Period 10)","CrossCountry","6691.9","7189.2","11018.8","2698.5","4456.7","3091.0","683.0","1548.0","2103.5","3308.0","6800.1","869.6","1340.8","2434.1","2219.0"
"Apr 2025 to Mar 2026 (Period 11)","CrossCountry","7474.6","9274.4","8334.8","3240.5","4694.4","3418.0","665.5","896.5","2617.0","1478.0","5713.3","719.4","605.4","3485.4","2044.9"
"Apr 2025 to Mar 2026 (Period 12)","CrossCountry","8004.5","7497.2","9038.8","2375.6","3241.1","2264.5","668.4","1334.7","1844.0","2122.3","6101.0","1174.2","919.5","2120.3","1834.9"
"Apr 2019 to Mar 2020 (Period 01)","East Midlands Railway","4888.0","5310.7","3281.1","549.0","2479.0","4742.5","84.5","640.5","712.0","1590.5","2654.8","621.0","272.5","810.0","852.0"
"Apr 2019 to Mar 2020 (Period 02)","East Midlands Railway","4994.3","5802.7","5233.1","156.5","3262.1","4025.0","82.5","553.0","1216.5","1341.0","2605.0","672.3","360.2","995.7","902.0"
"Apr 2019 to Mar 2020 (Period 03)","East Midlands Railway","5766.5","7578.0","5960.0","1172.5","4092.0","4562.5","57.0","774.5","1408.5","1142.5","4173.0","605.5","578.0","1229.5","1403.0"
"Apr 2019 to Mar 2020 (Period 04)","East Midlands Railway","6049.0","5820.0","5794.5","1075.0","3167.0","4789.0","16.5","855.5","937.0","1510.5","3895.0","523.0","484.0","1089.5","1453.5"
"Apr 2019 to Mar 2020 (Period 05)","East Midlands Railway","3744.0","5624.5","10402.0","4574.5","1835.0","5696.5","131.5","1014.5","831.5","2744.0","4401.0","598.5","397.5","888.5","1478.5"
"Apr 2019 to Mar 2020 (Period 06)","East Midlands Railway","5693.0","6228.0","6100.0","346.0","1470.0","5182.5","99.0","1058.5","799.0","1166.0","4677.0","553.5","736.5","1024.0","1033.0"
"Apr 2019 to Mar 2020 (Period 07)","East Midlands Railway","4853.8","7667.3","8453.2","2548.9","5689.6","5508.0","146.0","930.5","766.0","2204.5","4390.0","832.1","487.0","1526.6","1812.5"
"Apr 2019 to Mar 2020 (Period 08)","East Midlands Railway","4755.7","9600.1","6174.7","9238.0","6199.3","4907.5","65.0","934.5","2718.5","2583.0","4993.4","997.3","491.5","1904.7","2195.9"
"Apr 2019 to Mar 2020 (Period 09)","East Midlands Railway","4463.2","8461.2","9703.7","9095.6","4374.0","6177.5","60.5","1091.5","2523.5","2201.5","6537.9","1382.1","670.8","2638.4","2688.7"
"Apr 2019 to Mar 2020 (Period 10)","East Midlands Railway","3510.6","5977.5","5401.8","2802.4","3787.0","5097.0","149.5","1912.5","1517.5","2425.5","5230.9","1068.5","504.5","1828.7","2384.0"
"Apr 2019 to Mar 2020 (Period 11)","East Midlands Railway","2356.9","7828.7","7407.1","516.5","2895.0","3903.0","439.0","613.5","869.0","1550.0","4445.0","900.3","383.0","1332.3","1629.8"
"Apr 2019 to Mar 2020 (Period 12)","East Midlands Railway","3371.8","6817.9","6719.0","5810.5","6781.3","5689.0","212.5","524.0","566.0","1728.5","5005.8","812.6","344.6","1145.0","1754.4"
"Apr 2019 to Mar 2020 (Period 13)","East Midlands Railway","3847.0","4662.5","3850.8","503.0","2808.0","4379.0","261.5","379.0","406.0","1619.0","2806.2","404.5","216.5","1154.5","1181.5"
"Apr 2020 to Mar 2021 (Period 01)","East Midlands Railway","1131.0","1271.5","1359.0","38.0","868.0","920.0","81.5","90.0","172.0","487.0","139.0","73.0","7.0","97.0","30.0"
"Apr 2020 to Mar 2021 (Period 02)","East Midlands Railway","1506.0","2150.5","2517.0","246.0","1359.0","1626.5","43.0","74.0","334.0","470.5","883.0","63.0","18.0","195.0","166.5"
"Apr 2020 to Mar 2021 (Period 03)","East Midlands Railway","2423.0","2483.0","4971.0","392.0","1888.0","1838.5","25.0","117.5","184.0","554.0","539.5","129.0","13.0","219.5","207.0"
"Apr 2020 to Mar 2021 (Period 04)","East Midlands Railway","2631.5","2835.1","3161.1","32.0","2193.0","1819.5","84.0","282.0","329.5","593.0","1975.3","142.5","10.0","288.5","210.0"
"Apr 2020 to Mar 2021 (Period 05)","East Midlands Railway","1726.5","2605.5","2712.0","664.0","3943.0","3134.5","109.0","447.0","377.0","810.5","758.0","200.5","43.0","350.5","193.0"
"Apr 2020 to Mar 2021 (Period 06)","East Midlands Railway","4885.8","3504.5","3721.2","672.0","3091.2","2186.5","107.5","291.0","941.0","862.5","1306.8","380.5","48.0","651.0","215.5"
"Apr 2020 to Mar 2021 (Period 07)","East Midlands Railway","4937.2","4570.4","3224.6","880.5","4445.0","3476.0","90.5","281.5","600.0","974.5","1550.8","403.5","37.5","831.0","407.0"
"Apr 2020 to Mar 2021 (Period 08)","East Midlands Railway","3757.5","4537.4","4931.2","2849.0","4156.0","2962.5","64.0","347.0","2506.0","2353.0","1172.8","660.0","68.0","1196.5","635.1"
"Apr 2020 to Mar 2021 (Period 09)","East Midlands Railway","3067.7","4697.7","4522.1","1112.0","2897.2","2924.5","51.0","201.5","779.0","1128.5","1151.6","483.8","67.0","830.5","382.0"
"Apr 2020 to Mar 2021 (Period 10)","East Midlands Railway","5702.8","3152.5","4364.1","952.0","2240.4","3120.0","280.0","208.5","671.0","1444.0","1414.7","257.5","60.5","565.0","734.0"
"Apr 2020 to Mar 2021 (Period 11)","East Midlands Railway","1876.9","4121.2","4001.6","4115.5","2164.0","2159.0","28.5","105.5","1911.5","948.0","2050.2","292.4","39.0","601.7","564.0"
"Apr 2020 to Mar 2021 (Period 12)","East Midlands Railway","2076.1","2864.7","2438.5","3828.4","2951.1","2613.0","155.5","195.5","327.2","654.0","1248.7","238.6","10.0","454.8","510.0"
"Apr 2020 to Mar 2021 (Period 13)","East Midlands Railway","1702.1","2822.2","2830.9","319.3","1623.5","1390.3","48.5","145.7","250.8","778.3","922.6","210.4","19.7","448.0","316.7"
"Apr 2021 to Mar 2022 (Period 01)","East Midlands Railway","2885.5","4834.5","2638.0","99.0","2155.0","2841.5","166.5","243.5","789.0","1118.5","1243.5","508.5","43.5","774.0","240.5"
"Apr 2021 to Mar 2022 (Period 02)","East Midlands Railway","5027.4","6591.1","3983.9","695.5","2612.0","6069.0","124.5","783.5","1190.0","1765.1","2365.5","400.0","33.5","1023.0","828.0"
"Apr 2021 to Mar 2022 (Period 03)","East Midlands Railway","3694.9","8643.3","5283.2","708.2","3052.0","8484.0","652.5","898.1","878.0","4647.7","2093.0","480.5","111.0","1089.5","817.0"
"Apr 2021 to Mar 2022 (Period 04)","East Midlands Railway","5908.5","6780.3","6401.3","5108.0","2468.0","8411.0","661.4","664.0","1405.0","2249.5","1054.0","487.5","99.5","845.0","1199.0"
"Apr 2021 to Mar 2022 (Period 05)","East Midlands Railway","3383.0","6469.9","4548.4","725.0","2866.0","6163.0","566.3","1108.0","1412.0","3595.5","1006.5","614.5","201.0","852.0","712.0"
"Apr 2021 to Mar 2022 (Period 06)","East Midlands Railway","5144.5","7634.3","3247.3","176.0","2154.0","6095.0","395.5","1181.5","1764.5","3080.5","2367.3","546.0","222.5","882.0","614.0"
"Apr 2021 to Mar 2022 (Period 07)","East Midlands Railway","4363.0","9094.9","9765.9","799.0","4867.0","5218.0","504.3","1177.0","4722.0","1919.5","1500.5","550.5","210.5","1200.0","3046.0"
"Apr 2021 to Mar 2022 (Period 08)","East Midlands Railway","5772.4","7607.0","6881.8","8960.0","3435.0","5312.0","583.4","1253.0","3595.0","2762.5","1933.2","733.7","346.5","1804.0","1242.5"
"Apr 2021 to Mar 2022 (Period 09)","East Midlands Railway","3902.7","9516.3","5217.7","6857.7","3182.0","5191.5","658.2","1384.5","3514.5","3118.0","2010.6","703.0","233.0","1572.4","1342.0"
"Apr 2021 to Mar 2022 (Period 10)","East Midlands Railway","2766.4","6529.2","4418.6","759.8","2937.0","5189.5","537.8","1446.5","979.0","3050.5","2291.2","510.0","198.0","980.5","1324.0"
"Apr 2021 to Mar 2022 (Period 11)","East Midlands Railway","5206.0","7145.2","3201.7","1179.1","2915.0","3619.5","251.2","804.0","933.0","2291.7","1263.4","759.8","125.0","1219.5","1007.0"
"Apr 2021 to Mar 2022 (Period 12)","East Midlands Railway","2965.3","7334.2","4264.1","14423.8","2952.0","5346.0","449.1","1248.9","1695.5","2454.4","1237.5","614.8","154.0","1372.5","1158.0"
"Apr 2021 to Mar 2022 (Period 13)","East Midlands Railway","2695.9","6212.0","4959.6","1952.5","1989.2","4157.5","583.5","1118.3","1205.0","2189.5","1161.5","630.2","127.0","1302.5","1212.8"
"Apr 2022 to Mar 2023 (Period 01)","East Midlands Railway","4830.2","6598.0","5490.0","985.0","4042.0","5065.0","280.5","2032.0","1017.0","3136.5","1940.8","669.0","269.0","1123.0","1430.0"
"Apr 2022 to Mar 2023 (Period 02)","East Midlands Railway","11922.5","7265.5","3862.0","469.0","3357.0","4533.0","574.5","1472.0","1819.0","2889.0","2128.5","579.5","407.0","1093.0","1459.5"
"Apr 2022 to Mar 2023 (Period 03)","East Midlands Railway","4254.1","5746.0","5823.0","936.0","3056.0","5250.0","530.5","1048.0","876.0","3160.5","1623.4","716.5","291.0","1068.5","1365.5"
"Apr 2022 to Mar 2023 (Period 04)","East Midlands Railway","6718.9","7544.0","8177.3","10718.5","3927.0","8187.5","1001.5","1129.5","1499.5","3479.0","2077.8","897.0","142.0","1252.5","1735.0"
"Apr 2022 to Mar 2023 (Period 05)","East Midlands Railway","13447.0","7743.6","7807.5","5527.0","8006.0","8193.0","1651.0","1528.0","2295.5","3287.0","2033.9","813.5","302.0","1330.0","1414.0"
"Apr 2022 to Mar 2023 (Period 06)","East Midlands Railway","3157.0","7099.0","5173.0","2784.0","9212.0","6556.0","629.0","1388.5","1515.0","3060.0","1339.5","578.5","299.0","1167.5","2014.0"
"Apr 2022 to Mar 2023 (Period 07)","East Midlands Railway","5652.7","5784.7","4822.0","2846.0","7185.0","4838.5","255.0","1337.5","1055.5","2380.5","1741.8","767.5","366.4","1389.3","1695.5"
"Apr 2022 to Mar 2023 (Period 08)","East Midlands Railway","6828.1","11983.7","7587.0","5022.0","3322.0","7294.0","857.0","1618.5","3446.5","3498.5","2189.3","1323.6","472.0","1972.9","2525.0"
"Apr 2022 to Mar 2023 (Period 09)","East Midlands Railway","3176.0","15506.0","8161.0","3577.6","3664.0","7889.0","960.5","1727.0","1945.0","2342.0","2819.0","835.9","384.0","2020.5","2098.5"
"Apr 2022 to Mar 2023 (Period 10)","East Midlands Railway","794.0","11415.0","4489.0","1722.5","1160.0","4573.0","1392.0","1049.5","733.5","2775.5","1346.0","682.0","169.0","790.0","1300.0"
"Apr 2022 to Mar 2023 (Period 11)","East Midlands Railway","3168.2","7476.7","10860.6","2514.8","3267.0","5121.8","604.5","827.0","1038.0","1858.0","1677.9","754.0","270.0","1402.5","1282.1"
"Apr 2022 to Mar 2023 (Period 12)","East Midlands Railway","4508.0","8116.1","6153.1","1017.0","3216.0","5267.5","437.0","1404.5","2147.0","2293.0","2387.6","924.3","309.5","1785.0","1702.4"
"Apr 2022 to Mar 2023 (Period 13)","East Midlands Railway","3001.1","6415.7","10801.3","2066.9","3848.9","5207.8","156.3","789.3","1796.3","2153.9","1748.4","644.0","325.6","1679.0","1212.3"
"Apr 2023 to Mar 2024 (Period 01)","East Midlands Railway","4612.0","8634.1","10473.8","1008.0","4458.0","4413.0","298.5","1863.0","2043.0","2708.5","2118.0","513.5","175.0","1040.5","932.0"
"Apr 2023 to Mar 2024 (Period 02)","East Midlands Railway","5191.5","9611.5","5240.0","1496.0","3029.0","4537.0","168.5","1322.0","1540.0","2713.5","2780.0","363.5","356.5","1028.5","1404.5"
"Apr 2023 to Mar 2024 (Period 03)","East Midlands Railway","4831.8","10391.0","10978.8","3926.2","4369.0","6675.2","306.0","1465.5","1308.0","3295.0","2843.6","613.0","261.0","1737.5","1164.5"
"Apr 2023 to Mar 2024 (Period 04)","East Midlands Railway","5399.6","10471.4","7804.8","1034.0","2747.0","6220.0","56.5","977.5","2165.0","3133.0","1547.5","388.5","261.5","1426.5","1556.3"
"Apr 2023 to Mar 2024 (Period 05)","East Midlands Railway","5909.5","8766.2","9433.0","837.1","2653.0","5735.0","592.0","1845.0","1407.0","3293.5","3244.0","514.5","458.0","1155.5","1425.7"
"Apr 2023 to Mar 2024 (Period 06)","East Midlands Railway","7562.1","8838.6","9381.7","381.1","3196.0","6093.0","82.5","1221.0","3283.0","2006.0","2253.7","397.6","344.6","1152.0","1286.0"
"Apr 2023 to Mar 2024 (Period 07)","East Midlands Railway","5739.1","9327.9","9228.0","994.1","2713.0","5497.0","186.0","1569.0","1912.0","2916.0","2262.0","905.0","300.0","1290.5","1277.4"
"Apr 2023 to Mar 2024 (Period 08)","East Midlands Railway","4978.0","9857.1","11423.9","17837.0","4554.0","5998.0","506.0","1383.0","4027.5","4553.0","3731.9","681.5","151.5","1489.7","1910.0"
"Apr 2023 to Mar 2024 (Period 09)","East Midlands Railway","6302.1","14229.2","11278.4","14580.8","6667.0","7470.0","380.5","1509.0","4029.0","4000.5","2449.4","613.7","301.5","1936.5","2330.5"
"Apr 2023 to Mar 2024 (Period 10)","East Midlands Railway","5937.0","12904.9","8446.6","18513.6","3372.1","9004.0","275.0","1209.0","3767.5","3524.0","3398.6","737.6","330.5","2092.0","1758.6"
"Apr 2023 to Mar 2024 (Period 11)","East Midlands Railway","6893.2","9189.8","15138.0","5356.9","3572.0","6072.0","144.5","850.5","1762.5","2534.5","2522.9","528.8","146.0","1608.5","1332.0"
"Apr 2023 to Mar 2024 (Period 12)","East Midlands Railway","6415.0","8528.3","8628.6","2600.9","5553.0","5554.4","301.0","1804.5","2857.0","2738.5","2629.9","583.9","485.0","1840.5","1784.4"
"Apr 2023 to Mar 2024 (Period 13)","East Midlands Railway","7768.8","9465.6","8999.7","571.6","4721.7","6354.9","248.7","1154.8","1816.1","2150.1","2060.9","792.8","305.7","981.6","1169.5"
"Apr 2024 to Mar 2025 (Period 01)","East Midlands Railway","7899.0","8609.5","6306.0","1177.0","3697.0","5541.0","550.0","994.5","1748.0","2152.0","2655.5","312.0","212.0","1154.5","1097.0"
"Apr 2024 to Mar 2025 (Period 02)","East Midlands Railway","4794.0","9910.0","10071.0","1250.0","1977.0","6433.5","320.5","1309.0","1705.0","2246.0","1964.5","423.0","223.0","1251.5","1128.0"
"Apr 2024 to Mar 2025 (Period 03)","East Midlands Railway","10328.9","10439.7","7108.2","1358.0","5023.0","7787.5","211.5","1219.5","3021.5","2892.5","1340.5","425.5","442.0","1340.2","1556.5"
"Apr 2024 to Mar 2025 (Period 04)","East Midlands Railway","8646.2","12093.2","10638.9","709.0","2883.0","9414.5","446.0","1339.0","2590.0","2960.5","2443.6","465.0","401.0","1297.5","1813.5"
"Apr 2024 to Mar 2025 (Period 05)","East Midlands Railway","9525.5","11832.5","11551.0","884.0","3154.0","9127.0","121.5","2204.0","2780.0","2793.0","2016.0","462.0","425.0","1228.5","1239.0"
"Apr 2024 to Mar 2025 (Period 06)","East Midlands Railway","12450.5","9624.2","8948.0","1087.5","5112.0","8762.0","140.5","1573.5","1737.5","2632.5","2361.0","554.1","453.0","1637.0","1801.7"
"Apr 2024 to Mar 2025 (Period 07)","East Midlands Railway","9049.5","11193.0","7694.0","5175.5","1515.0","6624.5","92.5","1971.5","2498.5","3242.0","2904.5","659.0","320.0","1915.5","2075.0"
"Apr 2024 to Mar 2025 (Period 08)","East Midlands Railway","8061.5","9181.1","12031.4","3631.5","1658.0","9066.0","230.5","1543.5","3287.0","3411.5","2285.0","862.5","621.5","2075.0","2089.0"
"Apr 2024 to Mar 2025 (Period 09)","East Midlands Railway","7805.3","14032.5","17643.1","10300.0","2395.0","7796.0","49.0","1733.5","3762.0","2912.0","3944.2","693.8","400.0","2952.5","2401.2"
"Apr 2024 to Mar 2025 (Period 10)","East Midlands Railway","4640.9","10248.9","7047.4","2389.5","2048.0","7927.5","267.5","2324.0","1577.0","2597.5","1749.4","719.9","499.0","925.5","1557.0"
